career,skills,description,learning_path,projects,resources,resume_keywords,domain
UI/UX Designer,"figma, sketch, user-research, prototyping, wireframing, interaction-design","Designs interfaces and user experiences through research and prototyping.","1. Learn design fundamentals; 2. Wireframing & prototyping in Figma; 3. User research methods; 4. Usability testing; 5. Build portfolio.","Redesign mobile checkout flow; prototype in Figma","Coursera UI/UX courses","user research; prototyping; Figma","Design"
Product Manager,"product-management, roadmap, okrs, analytics, communication, stakeholder-management","Defines product strategy and coordinates teams to build value for customers.","1. Learn product lifecycle; 2. Market research & user interviews; 3. Roadmapping & OKRs; 4. Data-driven decision making; 5. Stakeholder communication.","Define PRD and roadmap; run user interviews","Reforge, PM courses","roadmap; okrs; stakeholder","Product"
QA Engineer,"testing, automation, selenium, pytest, test-cases, ci","Ensures product quality via automated and manual testing.","1. Manual testing basics; 2. Learn test automation frameworks; 3. CI integration; 4. Performance and security testing; 5. Test strategy.","Automated UI tests with Selenium; API test suite","Test Automation University","test automation; selenium; pytest","QA"
Security Engineer,"security, pentesting, cryptography, networking, linux, cloud-security","Protects systems by identifying and fixing vulnerabilities.","1. Networking & OS fundamentals; 2. Learn security tools; 3. Threat modeling; 4. Pentesting labs; 5. Defensive strategies","Run pentesting on staging; secure CI/CD pipeline","OWASP, TryHackMe","security; pentest; cryptography","Security"
Computer Vision Engineer,"python, opencv, pytorch, deep-learning, image-processing, cnn","Builds models and systems to understand images and video.","1. Image processing basics; 2. CNNs and architectures; 3. PyTorch/TensorFlow; 4. Datasets and annotation; 5. Deployment for video/edge.","Object detection pipeline; video analytics prototype","OpenCV docs, CV courses","computer vision; CNN; PyTorch","AI/ML"
NLP Engineer,"python, nlp, transformers, huggingface, pytorch, tokenization","Works on language models, understanding and generation tasks.","1. Text preprocessing; 2. Traditional NLP methods; 3. Transformers and transfer learning; 4. Fine-tuning and evaluation; 5. Deploy chatbots or extractors.","Fine-tune transformer for sentiment; NER pipeline","Hugging Face course","NLP; transformers; tokenization","AI/ML"
Robotics Engineer,"robotics, c++, ros, control-systems, sensors, embedded","Builds robots combining control, perception, and hardware engineering.","1. Learn control theory and kinematics; 2. ROS basics; 3. Embedded systems; 4. Sensors and actuation; 5. Integration and testing","ROS autonomous navigation demo","ROS tutorials","ROS; embedded; robotics","Robotics"
Embedded Systems Engineer,"c, c++, embedded, bare-metal, microcontrollers, rtos","Program low-level devices and optimize for resource constraints.","1. C programming; 2. Microcontroller basics; 3. RTOS concepts; 4. Debugging and hardware interfacing; 5. Power/size optimization","Build sensor data logger; flash and debug firmware","Embedded systems courses","embedded; microcontroller; RTOS","Hardware"
Game Developer,"unity, unreal, c#, c++, 3d, shader, gameplay","Designs and builds game mechanics, engines and interactive experiences.","1. Learn a game engine; 2. Learn language (C# or C++); 3. Game physics and math; 4. Asset pipeline; 5. Multiplayer basics","Small platformer in Unity; shader experiment","Unity Learn","game dev; unity; gameplay","Entertainment"
Sales Engineer,"presentation, product-knowledge, demo, negotiation, comms","Combines technical knowledge with sales to help customers adopt products.","1. Product expertise; 2. Demo skills; 3. Client-facing communication; 4. Understand business KPIs; 5. Pre-sales processes","Lead demo for potential client; case study","Product demos training","product demo; pre-sales","Business"
Technical Writer,"writing, documentation, markdown, api-docs, research, clarity","Creates clear documentation, guides and tutorials for products and APIs.","1. Writing fundamentals; 2. Learn docs tooling (Markdown, MkDocs); 3. API docs; 4. User guides & samples; 5. Maintain changelogs","Write API docs and quickstart guide","Write the Docs community","documentation; markdown; tutorials","Content"
Analytics Engineer,"dbt, sql, data-warehouse, modeling, transformation, analytics","Builds reliable analytics models and transforms data for BI teams.","1. SQL & data modeling; 2. dbt basics; 3. Data warehouse patterns; 4. Testing & docs; 5. Provide BI-friendly tables","Implement dbt models and tests","dbt Learn","dbt; analytics engineering; sql","Data/Analytics"
Customer Success Manager,"communication, crm, onboarding, relationship-management, analytics","Helps customers get value from products and retain them long-term.","1. Learn product features; 2. Customer onboarding flows; 3. CRM best practices; 4. Upsell strategies; 5. Support escalation","Create onboarding workflow and metrics","Customer Success courses","onboarding; CRM; retention","Business"
Growth Marketer,"analytics, a/b testing, marketing, copywriting, segmentation, sql","Uses data-driven experiments and product-led growth tactics to drive acquisition.","1. Fundamentals of digital marketing; 2. A/B testing and analytics; 3. Funnel optimization; 4. Creative copy and growth loops; 5. Scale channels","Run A/B test and growth funnel","Reforge, GrowthHackers","growth; a/b testing; analytics","Marketing"
QA Automation Engineer,"python, selenium, pytest, ci, automation, api-testing","Creates automated tests across UI and API layers to reduce regressions.","1. Learn test strategies; 2. Automation frameworks (Selenium, pytest); 3. Mocking and fixtures; 4. CI integration; 5. Reliability improvements","Automate end-to-end UI tests; API contract tests","Test Automation University","automation; selenium; pytest","QA"
Ethical AI Specialist,"ethics, fairness, bias, ml, policy, explainability","Advises on fairness, transparency and ethical deployment of AI systems.","1. Understand ML basics; 2. Study fairness and bias; 3. Create fairness audits; 4. Recommend mitigations; 5. Governance & policy","Bias audit for ML pipeline; mitigation plan","AI Ethics resources","ethics; fairness; explainability","AI/Ethics"
Technical Program Manager,"program-management, roadmap, cross-functional, risk-management, delivery","Coordinates cross-team efforts to deliver large technical programs on time.","1. Learn program management patterns; 2. Stakeholder management; 3. Risk & dependency mapping; 4. Delivery metrics; 5. Communication rhythms","Run cross-team program to launch feature","Program management courses","program management; delivery; roadmap","Product"
